                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0161,                 1.1595,                0.62489,                0.90495,                0.80134,                0.68232,                0.77464,                0.52294,                0.77443,                0.63343,                0.70543,                0.37118,                  1.112,                   1.31,                0.71364,                0.93264,               0.001014,               0.001014,               0.001014
                     91,                 1.0001,                 1.1514,                0.62289,                0.89489,                0.78513,                0.69392,                0.76505,                0.51509,                0.78492,                0.64711,                0.70749,                0.37896,                 1.1321,                 1.3393,                0.70561,                0.93325,              0.0010093,              0.0010093,              0.0010093
                     92,                  1.016,                 1.1815,                 0.6521,                0.89246,                0.78922,                0.71245,                0.77938,                0.53089,                0.76977,                 0.6463,                0.71335,                0.39507,                 1.1056,                 1.3332,                0.68924,                 0.9261,              0.0010046,              0.0010046,              0.0010046
                     93,                 1.0197,                 1.1754,                0.64404,                0.90403,                 0.7663,                0.70744,                0.76267,                0.52084,                0.74738,                0.64718,                0.70647,                0.38356,                 1.1097,                 1.3182,                0.68889,                0.92859,             0.00099987,             0.00099987,             0.00099987
                     94,                0.99134,                 1.1484,                0.62119,                0.89659,                0.80226,                 0.7098,                0.78942,                0.53468,                 0.7859,                0.63892,                0.70858,                0.38615,                 1.1081,                 1.3092,                0.68292,                0.92147,             0.00099516,             0.00099516,             0.00099516
                     95,                 1.0338,                 1.1553,                0.63625,                0.89376,                0.80211,                0.70949,                 0.7832,                0.52712,                0.75805,                0.66585,                0.72146,                0.38604,                 1.1294,                 1.3198,                0.69151,                0.93112,             0.00099044,             0.00099044,             0.00099044
                     96,                 1.0083,                 1.1548,                0.62772,                0.90086,                0.76901,                0.72203,                0.77573,                0.52697,                0.72879,                0.67436,                0.71579,                0.39548,                 1.1195,                 1.2912,                 0.7048,                0.92529,             0.00098572,             0.00098572,             0.00098572
                     97,                 1.0045,                 1.1633,                0.63053,                 0.8896,                 0.8063,                0.70752,                0.78802,                0.53165,                0.76365,                0.65679,                0.71755,                0.38769,                  1.115,                 1.3171,                0.70081,                0.92018,             0.00098101,             0.00098101,             0.00098101
                     98,                   1.01,                 1.1617,                0.62121,                0.89192,                0.79358,                0.70733,                0.77324,                0.52294,                 0.7515,                0.65242,                0.70363,                0.37761,                 1.1218,                 1.3181,                0.69351,                0.93063,             0.00097629,             0.00097629,             0.00097629
                     99,                0.99988,                 1.1645,                0.61229,                0.88388,                0.78753,                0.72842,                0.78828,                0.52553,                0.75619,                0.67343,                0.72603,                0.39104,                 1.1187,                 1.3353,                0.70983,                0.93306,             0.00097158,             0.00097158,             0.00097158
                    100,                 1.0045,                 1.1591,                0.62788,                0.89445,                0.77988,                0.68779,                0.77575,                0.51787,                0.76666,                0.62623,                 0.6962,                0.37969,                 1.1131,                  1.309,                0.71357,                 0.9318,             0.00096686,             0.00096686,             0.00096686
                    101,                0.99481,                 1.1577,                0.61154,                0.89055,                0.78624,                0.73602,                0.77769,                0.52759,                0.76496,                0.65976,                0.71359,                0.39568,                 1.1126,                  1.313,                0.68949,                0.93169,             0.00096215,             0.00096215,             0.00096215
                    102,                 1.0029,                  1.145,                0.62846,                0.89117,                 0.7727,                0.68799,                0.77484,                 0.5162,                 0.7157,                0.64049,                0.70328,                0.38715,                 1.1351,                 1.3152,                0.71783,                0.92882,             0.00095743,             0.00095743,             0.00095743
                    103,                0.99636,                 1.1464,                0.61373,                0.88307,                0.79743,                0.69711,                 0.7719,                0.52334,                0.75475,                0.66537,                0.72616,                0.38723,                 1.1113,                 1.3331,                0.69212,                0.93369,             0.00095271,             0.00095271,             0.00095271
                    104,                0.99749,                  1.148,                0.63511,                0.88619,                0.80224,                0.71403,                0.78666,                0.53127,                0.80554,                0.64353,                0.72261,                0.39129,                 1.1107,                 1.3061,                0.69214,                0.92646,               0.000948,               0.000948,               0.000948
                    105,                0.99822,                 1.1735,                0.63783,                0.89217,                0.79157,                0.72341,                0.77722,                0.52807,                0.77176,                 0.6815,                0.72437,                0.39552,                 1.1046,                 1.3128,                0.70034,                 0.9268,             0.00094328,             0.00094328,             0.00094328
